output for Psykhe - Zloveleen

total  dmg:220982 cost:1800 hits:762


Anubisath Defender   dmg:42090 cost:395 hits:74
Bloodthirst   dmg:10063 cost:90 hits:3
Cleave   dmg:-3911 cost:-60 hits:-3
Deep Wound   dmg:-1813 cost:0 hits:-8
Execute   dmg:10800 cost:105 hits:7
Hamstring   dmg:67 cost:20 hits:2
Heroic Strike   dmg:22414 cost:300 hits:20
Slam   dmg:-4840 cost:-60 hits:-4
Whirlwind   dmg:-1829 cost:0 hits:0
hit   dmg:11139 cost:0 hits:57

Anubisath Sentinel   dmg:-19072 cost:-90 hits:31
Bloodthirst   dmg:-3872 cost:-30 hits:-1
Deep Wound   dmg:251 cost:0 hits:12
Execute   dmg:-1551 cost:-30 hits:-2
Hamstring   dmg:-124 cost:-20 hits:-2
Heroic Strike   dmg:8464 cost:240 hits:16
Revenge   dmg:362 cost:0 hits:5
Slam   dmg:-12841 cost:-150 hits:-10
Whirlwind   dmg:-6545 cost:-100 hits:-4
hit   dmg:-3216 cost:0 hits:17

Anubisath Swarmguard   dmg:-2579 cost:25 hits:0
Cleave   dmg:-2717 cost:0 hits:-2
Deep Wound   dmg:266 cost:0 hits:2
Whirlwind   dmg:1022 cost:25 hits:1
hit   dmg:-1150 cost:0 hits:-1

Anubisath Warrior   dmg:3355 cost:-10 hits:10
Bloodthirst   dmg:-80 cost:0 hits:0
Cleave   dmg:-2262 cost:-40 hits:-2
Execute   dmg:1194 cost:15 hits:1
Heroic Strike   dmg:1011 cost:15 hits:1
Whirlwind   dmg:283 cost:0 hits:0
hit   dmg:3209 cost:0 hits:10

Battleguard Sartura   dmg:39375 cost:445 hits:66
Bloodthirst   dmg:2379 cost:60 hits:2
Deep Wound   dmg:234 cost:0 hits:8
Execute   dmg:11517 cost:105 hits:7
Heroic Strike   dmg:12804 cost:180 hits:12
Whirlwind   dmg:2759 cost:100 hits:5
hit   dmg:9682 cost:0 hits:32

C'Thun   dmg:68845 cost:710 hits:139
Bloodthirst   dmg:12133 cost:240 hits:8
Deep Wound   dmg:301 cost:0 hits:2
Execute   dmg:9734 cost:105 hits:7
Hamstring   dmg:72 cost:10 hits:1
Heroic Strike   dmg:18358 cost:255 hits:17
Whirlwind   dmg:3471 cost:100 hits:5
hit   dmg:24776 cost:0 hits:99

Claw Tentacle   dmg:-37 cost:0 hits:-1
Deep Wound   dmg:-30 cost:0 hits:-1
Whirlwind   dmg:-7 cost:0 hits:0

Emperor Vek'nilash   dmg:-12272 cost:-145 hits:-4
Bloodthirst   dmg:-565 cost:0 hits:0
Cleave   dmg:-2193 cost:-60 hits:-3
Deep Wound   dmg:288 cost:0 hits:2
Execute   dmg:3395 cost:90 hits:6
Hamstring   dmg:79 cost:30 hits:3
Heroic Strike   dmg:-9460 cost:-105 hits:-7
Overpower   dmg:-1396 cost:0 hits:-1
Whirlwind   dmg:-1494 cost:-100 hits:-2
hit   dmg:-926 cost:0 hits:-2

Eye Tentacle   dmg:6695 cost:155 hits:15
Bloodthirst   dmg:2049 cost:90 hits:3
Execute   dmg:837 cost:0 hits:0
Heroic Strike   dmg:423 cost:15 hits:1
Pummel   dmg:27 cost:0 hits:1
