Berserkss,308739,3
Bigjelly,18940,7
Bloxie,122740,3
Brocula,299586,6
Bruceweed,2095647,6
Bubasita,92346,7
Chan,269973,2
Charmia,374982,3
Daenae,38422,5
Daenshoo,172264,2
Dregoth,199702,4
Dyrachyo,1190256,5
Everglow,684879,9
Faradin,84013,2
Getterfour,1965139,12
Hrin,307899,4
Illasei,257779,4
Iniri,99904,3
Isimona,534401,5
Jaekta,2992695,3
Killanime,31389,8
Loyola,148194,2
Lyahsunsworn,71465,4
Maryhuff,427050,6
Melbaxd,2490,3
Melevolence,167662,4
Niviri,118118,4
Nmsj,60847,5
Obbi,79353,4
Palkensen,9960,3
Psykhe,1094385,6
Rhudaur,159185,4
Seath,12406,8
Seryah,356685,8
Shrimpshark,395198,7
Shumy,0,0
Smahingbolt,370252,5
Sunor,1452025,4
Teldelar,127056,8
Thorshifter,30473,7
Tockra,483732,3
Xanadun,494350,3
Yis,148670,3
