Adachisakura,71198,2
Aquatic,175525,0
Banola,0,4
Blindie,138538,3
Bobsterr,896731,2
Catajumbo,40886,3
Clapya,399645,0
Cracklinoats,44822,2
Dhallya,14995,0
Dirael,34469,0
Flowest,120364,0
Goldengoose,141661,1
Immunium,7636,0
Interlan,165102,0
Jhuulum,0,1
Jocaste,62767,0
Kayax,66965,2
Lycel,150922,1
Magn,259396,0
Martlflash,22809,1
Mcstabbys,59969,4
Medion,119923,0
Murto,14984,5
Ostkastare,117734,3
Pitbound,138232,1
Pristitute,660059,1
Psykhe,328890,3
Pyi,14984,4
Ratthew,16554,4
Richardtater,23260,4
Sabroso,551692,1
Shreked,141737,3
Spankys,127097,0
Starraven,841008,1
Sunpriest,221657,1
Topgoy,0,3
Vallcow,141992,2
Viridissima,154468,2
Xiaofeigunn,144903,4
Yakub,343380,0
Zahyla,0,5
Zdraxus,0,0
Zhaazhum,0,0
Zloveleen,127331,5
