Airin,35196,3
Aphorodite,44744,2
Arzetlam,3493,0
Berserkss,116814,0
Bloxie,92537,3
Chan,10479,0
Charmia,403428,2
Coldbeer,8752,0
Daenshoo,0,1
Druindy,5765,4
Dyrachyo,692716,2
Everglow,384717,4
Few,448988,5
Fflur,0,0
Gack,0,1
Geniesham,0,1
Illasei,222847,1
Lyahsunsworn,0,1
Mezmeris,0,3
Nightleaf,0,6
Pieshka,0,4
Platedps,101523,1
Psykhe,1407643,2
Redzeus,0,3
Ridea,0,2
Roshane,25749,3
Shrimpshark,274785,2
Shuly,23477,1
Srj,612972,4
Stormsnake,0,0
Subarach,0,4
Sunor,161820,2
Syjlas,25604,1
Teldelar,0,2
Umbriela,59952,2
Windfurytotm,56435,0
Yis,108509,3
