Alpra,41541,5
Arzetlam,963502,2
Berserkss,448454,5
Bloxie,1105544,2
Bruceweed,1268679,6
Charmia,1043644,4
Daenae,106561,3
Daenshoo,87264,4
Dregoth,247696,6
Druindy,39610,4
Dyrachyo,1552551,7
Everglow,1157925,5
Everran,800250,0
Falcula,120738,8
Faradin,1073034,3
Getterfour,1488847,7
Illasei,1263654,5
Iniri,90435,3
Jaekta,1685187,3
Jarnp,129688,8
Killanime,1094790,3
Loyola,954689,3
Lyahsunsworn,41395,3
Maryhuff,374507,8
Melevolence,186798,4
Niviri,359337,3
Obbi,984422,3
Paris,1136421,2
Psykhe,939853,3
Rhudaur,1422299,6
Rossol,0,6
Seath,731813,2
Shrimpshark,1474900,10
Shumy,899972,3
Smahingbolt,279386,3
Srj,1085018,6
Sunor,519622,2
Teldelar,140568,4
Tlw,1280757,1
Windfurytotm,896205,5
Xanadun,240148,6
Yis,208028,1
