Adachisakura,968091,1
Aquatic,708321,2
Aveenna,757330,2
Bobbywf,192529,3
Bolyarka,1248869,5
Cheesebreath,213976,2
Clapya,1037558,1
Clapya (self damage),29990,0
Eleae,991139,1
Interlan,555172,1
Jinp,532771,3
Jinp (self damage),134955,0
Jocaste,216622,1
Kayax,759279,5
Martl,1500386,2
Martl (self damage),29990,0
Minoas,111192,2
Mosquitowins,269618,1
Nehelenia,878840,2
Onetwofree,976888,1
Petie (Spankys),0,2
Pitbound,1117320,1
Pitbound (self damage),14995,0
Pristitute,786074,3
Psykhe,531491,2
Randgriz,882951,1
Rila,692607,2
Rila (self damage),59980,0
Ruwusz,179809,2
Saberslash,1954763,1
Saberslash (self damage),104965,0
Sabroso,2078027,0
Sabroso (self damage),179940,0
Selverslip,941245,3
Shape,1736680,1
Shape (self damage),119960,0
Shizumo,17643,1
Snega,1028751,2
Spankys,292175,1
Spankys (self damage),29990,0
Squirreled,1569308,3
Squirreled (self damage),59980,0
Starr,172378,2
Starraven,932959,1
Starraven (self damage),14995,0
Suigetsu,1102746,2
Supal,1096202,2
Tinerispew,54974,1
Xelya,756297,2
Xelya (self damage),29990,0
Zloveleen,1484963,6
